scenario,time_s,time_h,global_max_moisture_kgkg
S0,182100.0,50.583333333333336,0.1504540560380645
S0,182400.0,50.666666666666664,0.15029763042020974
S0,182700.0,50.75,0.15014180252075582
S0,182973.99794157277,50.82611053932577,0.15
S1,0.0,0.0,2.55
S1,300.0,0.08333333333333333,2.55
S1,600.0,0.16666666666666666,2.55
S1,900.0,0.25,2.5500000000000003
S1,1200.0,0.3333333333333333,2.5500000000000003
S1,1500.0,0.4166666666666667,2.5500000000000003
S1,1800.0,0.5,2.5500000000000003
S1,2100.0,0.5833333333333334,2.5500000000000007
S1,2400.0,0.6666666666666666,2.549999999999996
S1,2700.0,0.75,2.549999999999406
S1,3000.0,0.8333333333333334,2.54999999997078
S1,3300.0,0.9166666666666666,2.5499999992989255
S1,3600.0,1.0,2.549999990302771
S1,3900.0,1.0833333333333333,2.5499999126321766
S1,4200.0,1.1666666666666667,2.549999440095972
S1,4500.0,1.25,2.549997278178602
S1,4800.0,1.3333333333333333,2.549989455284147
S1,5100.0,1.4166666666666667,2.5499661339387485
S1,5400.0,1.5,2.54990692782612
S1,5700.0,1.5833333333333333,2.549775816298127
S1,6000.0,1.6666666666666667,2.549517056344997
S1,6300.0,1.75,2.5490530181245483
S1,6600.0,1.8333333333333333,2.548284777651381
S1,6900.0,1.9166666666666667,2.54709645985709
S1,7200.0,2.0,2.5453620156154275
S1,7500.0,2.0833333333333335,2.542962730868841
S1,7800.0,2.1666666666666665,2.539798743227845
S1,8100.0,2.25,2.5357807059814323
S1,8400.0,2.3333333333333335,2.5308341717499987
S1,8700.0,2.4166666666666665,2.524903194514493
S1,9000.0,2.5,2.51795122030697
S1,9300.0,2.5833333333333335,2.5099609879049565
S1,9600.0,2.6666666666666665,2.500927830011006
S1,9900.0,2.75,2.4908607796769644
S1,10200.0,2.8333333333333335,2.4797829167463625
S1,10500.0,2.9166666666666665,2.4677243121565438
S1,10800.0,3.0,2.4547247923538023
S1,11100.0,3.0833333333333335,2.4408180362874625
S1,11400.0,3.1666666666666665,2.4260352818536104
S1,11700.0,3.25,2.4104329254660555
S1,12000.0,3.3333333333333335,2.3940645580267708
S1,12300.0,3.4166666666666665,2.3769778455815054
S1,12600.0,3.5,2.3592199500076494
S1,12900.0,3.5833333333333335,2.340865520062288
S1,13200.0,3.6666666666666665,2.321969343003355
S1,13500.0,3.75,2.3025786665717263
S1,13800.0,3.8333333333333335,2.282735908816815
S1,14100.0,3.9166666666666665,2.26248910644288
S1,14400.0,4.0,2.2418750877247424
S1,14700.0,4.083333333333333,2.220937830978442
S1,15000.0,4.166666666666667,2.1997301407322127
S1,15300.0,4.25,2.1782841079829196
S1,15600.0,4.333333333333333,2.1566318465501864
S1,15900.0,4.416666666666667,2.134803765636215
S1,16200.0,4.5,2.1128283360092457
S1,16500.0,4.583333333333333,2.0907499921361237
S1,16800.0,4.666666666666667,2.0686115982338777
S1,17100.0,4.75,2.0464364325897857
S1,17400.0,4.833333333333333,2.0242459866540328
S1,17700.0,4.916666666666667,2.002060082294633
S1,18000.0,5.0,1.9798969834089086
S1,18300.0,5.083333333333333,1.957763154351029
S1,18600.0,5.166666666666667,1.9356638027059156
S1,18900.0,5.25,1.913613335685949
S1,19200.0,5.333333333333333,1.8916250552184057
S1,19500.0,5.416666666666667,1.8697112288689957
S1,19800.0,5.5,1.8478831586695843
S1,20100.0,5.583333333333333,1.8261615799776256
S1,20400.0,5.666666666666667,1.8045661636061967
S1,20700.0,5.75,1.7831053071093301
S1,21000.0,5.833333333333333,1.7617866445725892
S1,21300.0,5.916666666666667,1.7406171069588612
S1,21600.0,6.0,1.7196029776297945
S1,21900.0,6.083333333333333,1.6987625321172046
S1,22200.0,6.166666666666667,1.678113054583953
S1,22500.0,6.25,1.657658484483102
S1,22800.0,6.333333333333333,1.6374022585398158
S1,23100.0,6.416666666666667,1.6173473484132028
S1,23400.0,6.5,1.597496295554347
S1,23700.0,6.583333333333333,1.577848842250498
S1,24000.0,6.666666666666667,1.5584044632155312
S1,24300.0,6.75,1.5391647478396417
S1,24600.0,6.833333333333333,1.5201309708962092
S1,24900.0,6.916666666666667,1.5013041159888219
S1,25200.0,7.0,1.4826848982719867
S1,25500.0,7.083333333333333,1.4642806277790432
S1,25800.0,7.166666666666667,1.4460980695178762
S1,26100.0,7.25,1.428136777949204
S1,26400.0,7.333333333333333,1.410396124119188
S1,26700.0,7.416666666666667,1.3928753143656878
S1,27000.0,7.5,1.3755734077308044
S1,27300.0,7.583333333333333,1.358502171504088
S1,27600.0,7.666666666666667,1.341672563622776
S1,27900.0,7.75,1.3250822602264662
