scenario,time_s,time_h,global_max_moisture_kgkg
S0,65100.0,18.083333333333332,0.2966679106671295
S0,65400.0,18.166666666666668,0.2954595226114908
S0,65700.0,18.25,0.29426616037375564
S0,66000.0,18.333333333333332,0.29308755492640975
S0,66300.0,18.416666666666668,0.29192344309551144
S0,66600.0,18.5,0.2907735674225547
S0,66900.0,18.583333333333332,0.2896376760294221
S0,67200.0,18.666666666666668,0.28851552248637524
S0,67500.0,18.75,0.2874068656830421
S0,67800.0,18.833333333333332,0.28631146970234916
S0,68100.0,18.916666666666668,0.28522910369735394
S0,68400.0,19.0,0.28415954177092634
S0,68700.0,19.083333333333332,0.2831025628582327
S0,69000.0,19.166666666666668,0.28205795061195676
S0,69300.0,19.25,0.281025493290275
S0,69600.0,19.333333333333332,0.28000498364742016
S0,69900.0,19.416666666666668,0.2789962188268716
S0,70200.0,19.5,0.27799900025710683
S0,70500.0,19.583333333333332,0.27701313354984936
S0,70800.0,19.666666666666668,0.276038428400769
S0,71100.0,19.75,0.2750746984925861
S0,71400.0,19.833333333333332,0.27412176140052846
S0,71700.0,19.916666666666668,0.2731794385000928
S0,72000.0,20.0,0.2722475548770619
S0,72300.0,20.083333333333332,0.27132593923972786
S0,72600.0,20.166666666666668,0.2704144238332749
S0,72900.0,20.25,0.26951284435627293
S0,73200.0,20.333333333333332,0.2686210398792356
S0,73500.0,20.416666666666668,0.26773885276519427
S0,73800.0,20.5,0.2668661285922466
S0,74100.0,20.583333333333332,0.26600271607802745
S0,74400.0,20.666666666666668,0.26514846700606387
S0,74700.0,20.75,0.2643032361539664
S0,75000.0,20.833333333333332,0.2634668812234228
S0,75300.0,20.916666666666668,0.26263926277190436
S0,75600.0,21.0,0.2618202441461415
S0,75900.0,21.083333333333332,0.2610096914172413
S0,76200.0,21.166666666666668,0.2602074733173977
S0,76500.0,21.25,0.259413461178228
S0,76800.0,21.333333333333332,0.25862752887067314
S0,77100.0,21.416666666666668,0.2578495527463552
S0,77400.0,21.5,0.2570794115804444
S0,77700.0,21.583333333333332,0.25631698651595125
S0,78000.0,21.666666666666668,0.25556216100941903
S0,78300.0,21.75,0.2548148207779798
S0,78600.0,21.833333333333332,0.25407485374773975
S0,78900.0,21.916666666666668,0.25334215000346116
S0,79200.0,22.0,0.2526166017395055
S0,79500.0,22.083333333333332,0.25189810321200795
S0,79800.0,22.166666666666668,0.25118655069224943
S0,80100.0,22.25,0.25048184242119775
S0,80400.0,22.333333333333332,0.24978387856518516
S0,80700.0,22.416666666666668,0.24909256117269432
S0,81000.0,22.5,0.24840779413222422
S0,81300.0,22.583333333333332,0.24772948313120663
S0,81600.0,22.666666666666668,0.2470575356159471
S0,81900.0,22.75,0.24639186075256303
S0,82200.0,22.833333333333332,0.2457323693888929
S0,82500.0,22.916666666666668,0.24507897401735107
S0,82800.0,23.0,0.24443158873870424
S0,83100.0,23.083333333333332,0.24379012922674423
S0,83400.0,23.166666666666668,0.24315451269383415
S0,83700.0,23.25,0.24252465785730556
S0,84000.0,23.333333333333332,0.24190048490668267
S0,84300.0,23.416666666666668,0.24128191547171438
S0,84600.0,23.5,0.24066887259118952
S0,84900.0,23.583333333333332,0.24006128068251875
S0,85200.0,23.666666666666668,0.23945906551205864
S0,85500.0,23.75,0.23886215416616244
S0,85800.0,23.833333333333332,0.2382704750229352
S0,86100.0,23.916666666666668,0.237683957724677
S0,86400.0,24.0,0.23710253315099467
S0,86700.0,24.083333333333332,0.23652613339256537
S0,87000.0,24.166666666666668,0.23595469172553463
S0,87300.0,24.25,0.2353881425865318
S0,87600.0,24.333333333333332,0.23482642154828742
S0,87900.0,24.416666666666668,0.2342694652958366
S0,88200.0,24.5,0.2337172116032919
S0,88500.0,24.583333333333332,0.23316959931117262
S0,88800.0,24.666666666666668,0.2326265683042751
S0,89100.0,24.75,0.23208805949006908
S0,89400.0,24.833333333333332,0.2315540147776082
S0,89700.0,24.916666666666668,0.23102437705693918
S0,90000.0,25.0,0.23049909017899883
S0,90300.0,25.083333333333332,0.22997809893598412
S0,90600.0,25.166666666666668,0.2294613490421849
S0,90900.0,25.25,0.22894878711526562
S0,91200.0,25.333333333333332,0.22844036065798587
S0,91500.0,25.416666666666668,0.22793601804034705
S0,91800.0,25.5,0.22743570848215586
S0,92100.0,25.583333333333332,0.2269393820359915
S0,92400.0,25.666666666666668,0.2264469895705687
S0,92700.0,25.75,0.22595848275448457
S0,93000.0,25.833333333333332,0.22547381404034064
S0,93300.0,25.916666666666668,0.22499293664922926
S0,93600.0,26.0,0.2245158045555763
S0,93900.0,26.083333333333332,0.22404237247233028
S0,94200.0,26.166666666666668,0.22357259583648928
S0,94500.0,26.25,0.22310643079495715
S0,94800.0,26.333333333333332,0.22264383419072048
S0,95100.0,26.416666666666668,0.22218476354933858
S0,95400.0,26.5,0.22172917706573794
S0,95700.0,26.583333333333332,0.2212770335913039
S0,96000.0,26.666666666666668,0.2208282926212625
S0,96300.0,26.75,0.22038291428234383
S0,96600.0,26.833333333333332,0.21994085932072147
S0,96900.0,26.916666666666668,0.21950208909022015
S0,97200.0,27.0,0.21906656554078446
S0,97500.0,27.083333333333332,0.2186342512072042
S0,97800.0,27.166666666666668,0.21820510919808703
S0,98100.0,27.25,0.2177791031850746
S0,98400.0,27.333333333333332,0.2173561973922956
S0,98700.0,27.416666666666668,0.21693635658604882
S0,99000.0,27.5,0.21651954606471235
S0,99300.0,27.583333333333332,0.2161057316488712
S0,99600.0,27.666666666666668,0.21569487967166034
S0,99900.0,27.75,0.21528695696931605
S0,100200.0,27.833333333333332,0.21488193087193103
S0,100500.0,27.916666666666668,0.21447976919440895
S0,100800.0,28.0,0.21408044022761277
S0,101100.0,28.083333333333332,0.21368391272970233
S0,101400.0,28.166666666666668,0.21329015591765696
S0,101700.0,28.25,0.21289913945897815
S0,102000.0,28.333333333333332,0.2125108334635687
S0,102300.0,28.416666666666668,0.212125208475783
S0,102600.0,28.5,0.21174223546664564
S0,102900.0,28.583333333333332,0.2113618858262329
S0,103200.0,28.666666666666668,0.2109841313562147
S0,103500.0,28.75,0.21060894426255214
S0,103800.0,28.833333333333332,0.2102362971483474
S0,104100.0,28.916666666666668,0.209866163006842
S0,104400.0,29.0,0.2094985152145607
S0,104700.0,29.083333333333332,0.20913332752459662
S0,105000.0,29.166666666666668,0.2087705740600353
S0,105300.0,29.25,0.20841022930751327
S0,105600.0,29.333333333333332,0.20805226811090907
S0,105900.0,29.416666666666668,0.2076966656651631
S0,106200.0,29.5,0.20734339751022327
S0,106500.0,29.583333333333332,0.20699243952511384
S0,106800.0,29.666666666666668,0.20664376792212413
S0,107100.0,29.75,0.2062973592411148
S0,107400.0,29.833333333333332,0.20595319034393897
S0,107700.0,29.916666666666668,0.20561123840897508
S0,108000.0,30.0,0.2052714809258388
S0,108300.0,30.083333333333332,0.2049338956900944
S0,108600.0,30.166666666666668,0.20459846079763042
S0,108900.0,30.25,0.20426515464052006
S0,109200.0,30.333333333333332,0.20393395590173086
S0,109500.0,30.416666666666668,0.20360484354982672
S0,109800.0,30.5,0.20327779683443617
S0,110100.0,30.583333333333332,0.20295279528218185
S0,110400.0,30.666666666666668,0.20262981869158628
S0,110700.0,30.75,0.2023088471281951
S0,111000.0,30.833333333333332,0.2019898609210557
S0,111300.0,30.916666666666668,0.20167284065799193
S0,111600.0,31.0,0.2013577671811742
S0,111900.0,31.083333333333332,0.20104462158318856
S0,112200.0,31.166666666666668,0.20073338520345124
S0,112500.0,31.25,0.20042403962325595
S0,112800.0,31.333333333333332,0.20011656666241748
S0,113100.0,31.416666666666668,0.19981094837561147
S0,113400.0,31.5,0.19950716704849053
S0,113700.0,31.583333333333332,0.1992052051936518
S0,114000.0,31.666666666666668,0.19890504554729693
S0,114300.0,31.75,0.1986066710657091
S0,114600.0,31.833333333333332,0.19831006492171793
S0,114900.0,31.916666666666668,0.19801521050128246
S0,115200.0,32.0,0.19772209140009003
S0,115500.0,32.083333333333336,0.19743069142033526
S0,115800.0,32.166666666666664,0.1971409945676785
S0,116100.0,32.25,0.19685298504755278
S0,116400.0,32.333333333333336,0.1965666472624726
S0,116700.0,32.416666666666664,0.19628196580877832
S0,117000.0,32.5,0.19599892547409078
S0,117300.0,32.583333333333336,0.1957175112336159
S0,117600.0,32.666666666666664,0.19543770824778245
S0,117900.0,32.75,0.1951595018591498
S0,118200.0,32.833333333333336,0.1948828775901029
S0,118500.0,32.916666666666664,0.1946078211394223
S0,118800.0,33.0,0.19433431838002319
S0,119100.0,33.083333333333336,0.19406235535614932
S0,119400.0,33.166666666666664,0.19379191828111575
S0,119700.0,33.25,0.19352299353434027
S0,120000.0,33.333333333333336,0.1932555676590095
S0,120300.0,33.416666666666664,0.19298962735967565
S0,120600.0,33.5,0.1927251594998123
S0,120900.0,33.583333333333336,0.1924621510994478
S0,121200.0,33.666666666666664,0.1922005893328411
